lotto_game,numbers,frequency
Grand Lotto 6/55,3,105
Grand Lotto 6/55,15,105
Grand Lotto 6/55,20,105
Grand Lotto 6/55,44,105
Grand Lotto 6/55,30,104
Grand Lotto 6/55,50,104
Grand Lotto 6/55,11,103
Grand Lotto 6/55,21,103
Grand Lotto 6/55,27,102
Grand Lotto 6/55,37,100
Grand Lotto 6/55,22,98
Grand Lotto 6/55,35,98
Grand Lotto 6/55,19,97
Grand Lotto 6/55,55,97
Grand Lotto 6/55,23,95
Grand Lotto 6/55,46,95
Grand Lotto 6/55,47,95
Grand Lotto 6/55,26,94
Grand Lotto 6/55,4,93
Grand Lotto 6/55,39,93
Grand Lotto 6/55,16,92
Grand Lotto 6/55,36,91
Grand Lotto 6/55,8,90
Grand Lotto 6/55,34,90
Grand Lotto 6/55,32,89
Grand Lotto 6/55,38,89
Grand Lotto 6/55,7,88
Grand Lotto 6/55,25,88
Grand Lotto 6/55,53,87
Grand Lotto 6/55,14,86
Grand Lotto 6/55,31,80
Grand Lotto 6/55,18,78
Grand Lotto 6/55,12,77
Lotto 6/42,18,158
Lotto 6/42,41,158
Lotto 6/42,33,149
Lotto 6/42,3,147
Lotto 6/42,36,147
Lotto 6/42,25,146
Lotto 6/42,5,144
Lotto 6/42,22,143
Lotto 6/42,9,142
Lotto 6/42,21,142
Lotto 6/42,12,141
Lotto 6/42,19,139
Lotto 6/42,35,139
Lotto 6/42,14,138
Lotto 6/42,24,137
Lotto 6/42,4,136
Lotto 6/42,29,136
Lotto 6/42,15,135
Lotto 6/42,23,135
Lotto 6/42,31,135
Lotto 6/42,16,134
Lotto 6/42,27,134
Lotto 6/42,39,134
Lotto 6/42,10,133
Lotto 6/42,17,133
Lotto 6/42,20,133
Lotto 6/42,37,133
Lotto 6/42,8,131
Lotto 6/42,13,131
Lotto 6/42,7,130
Lotto 6/42,42,129
Lotto 6/42,2,126
Lotto 6/42,40,126
Lotto 6/42,11,124
Lotto 6/42,34,123
Lotto 6/42,32,120
Lotto 6/42,6,118
Lotto 6/42,28,118
Lotto 6/42,38,118
Lotto 6/42,26,117
Lotto 6/42,30,116
Lotto 6/42,1,108
Megalotto 6/45,42,161
Megalotto 6/45,3,146
Megalotto 6/45,4,145
Megalotto 6/45,25,144
Megalotto 6/45,30,142
Megalotto 6/45,41,140
Megalotto 6/45,38,139
Megalotto 6/45,10,138
Megalotto 6/45,5,135
Megalotto 6/45,37,135
Megalotto 6/45,8,134
Megalotto 6/45,34,134
Megalotto 6/45,15,132
Megalotto 6/45,43,132
Megalotto 6/45,40,131
Megalotto 6/45,27,130
Megalotto 6/45,31,130
Megalotto 6/45,44,130
Megalotto 6/45,17,129
Megalotto 6/45,33,129
Megalotto 6/45,35,129
Megalotto 6/45,7,127
Megalotto 6/45,39,125
Megalotto 6/45,1,124
Megalotto 6/45,6,122
Megalotto 6/45,9,122
Megalotto 6/45,12,122
Megalotto 6/45,18,122
Megalotto 6/45,13,120
Megalotto 6/45,23,120
Megalotto 6/45,24,119
Megalotto 6/45,14,118
Megalotto 6/45,45,118
Megalotto 6/45,2,116
Megalotto 6/45,32,116
Megalotto 6/45,11,115
Megalotto 6/45,20,114
Megalotto 6/45,19,111
Megalotto 6/45,28,111
Megalotto 6/45,29,111
Megalotto 6/45,36,107
Megalotto 6/45,21,103
Megalotto 6/45,22,101
Megalotto 6/45,26,100
Megalotto 6/45,16,99
Superlotto 6/49,13,136
Superlotto 6/49,26,134
Superlotto 6/49,16,129
Superlotto 6/49,43,129
Superlotto 6/49,44,128
Superlotto 6/49,41,127
Superlotto 6/49,3,126
Superlotto 6/49,29,126
Superlotto 6/49,46,126
Superlotto 6/49,19,124
Superlotto 6/49,37,123
Superlotto 6/49,47,123
Superlotto 6/49,7,122
Superlotto 6/49,30,122
Superlotto 6/49,45,122
Superlotto 6/49,23,121
Superlotto 6/49,24,120
Superlotto 6/49,2,119
Superlotto 6/49,34,119
Superlotto 6/49,14,118
Superlotto 6/49,32,118
Superlotto 6/49,33,118
Superlotto 6/49,31,117
Superlotto 6/49,39,117
Superlotto 6/49,8,116
Superlotto 6/49,4,114
Superlotto 6/49,9,114
Superlotto 6/49,12,114
Superlotto 6/49,20,113
Superlotto 6/49,35,113
Superlotto 6/49,28,112
Superlotto 6/49,42,112
Superlotto 6/49,18,110
Superlotto 6/49,48,110
Superlotto 6/49,10,108
Superlotto 6/49,21,108
Superlotto 6/49,38,108
Superlotto 6/49,49,107
Superlotto 6/49,17,106
Superlotto 6/49,22,106
Superlotto 6/49,36,104
Superlotto 6/49,15,103
Superlotto 6/49,5,101
Superlotto 6/49,27,101
Superlotto 6/49,6,99
Superlotto 6/49,1,96
Superlotto 6/49,25,96
Superlotto 6/49,40,95
Superlotto 6/49,11,92
Ultra Lotto 6/58,19,118
Ultra Lotto 6/58,2,114
Ultra Lotto 6/58,5,112
Ultra Lotto 6/58,14,108
Ultra Lotto 6/58,50,108
Ultra Lotto 6/58,40,106
Ultra Lotto 6/58,42,106
Ultra Lotto 6/58,49,105
Ultra Lotto 6/58,6,104
Ultra Lotto 6/58,43,104
Ultra Lotto 6/58,22,103
Ultra Lotto 6/58,9,102
Ultra Lotto 6/58,28,102
Ultra Lotto 6/58,30,102
Ultra Lotto 6/58,45,102
Ultra Lotto 6/58,29,101
Ultra Lotto 6/58,37,101
Ultra Lotto 6/58,48,101
Ultra Lotto 6/58,34,100
Ultra Lotto 6/58,47,100
Ultra Lotto 6/58,1,99
Ultra Lotto 6/58,13,99
Ultra Lotto 6/58,25,99
Ultra Lotto 6/58,35,99
Ultra Lotto 6/58,51,99
Ultra Lotto 6/58,52,99
Ultra Lotto 6/58,58,99
Ultra Lotto 6/58,10,98
Ultra Lotto 6/58,17,98
Ultra Lotto 6/58,55,98
Ultra Lotto 6/58,15,97
Ultra Lotto 6/58,56,97
Ultra Lotto 6/58,12,96
Ultra Lotto 6/58,44,96
Ultra Lotto 6/58,16,95
Ultra Lotto 6/58,20,94
Ultra Lotto 6/58,31,94
Ultra Lotto 6/58,32,94
Ultra Lotto 6/58,38,94
Ultra Lotto 6/58,3,93
Ultra Lotto 6/58,4,93
Ultra Lotto 6/58,57,93
Ultra Lotto 6/58,26,92
Ultra Lotto 6/58,11,91
Ultra Lotto 6/58,46,91
Ultra Lotto 6/58,21,90
Ultra Lotto 6/58,33,90
Ultra Lotto 6/58,36,89
Ultra Lotto 6/58,8,88
Ultra Lotto 6/58,41,88
Ultra Lotto 6/58,54,88
Ultra Lotto 6/58,18,85
Ultra Lotto 6/58,24,85
Ultra Lotto 6/58,23,83
Ultra Lotto 6/58,53,83
Ultra Lotto 6/58,7,81
Ultra Lotto 6/58,39,81
Ultra Lotto 6/58,27,77
